lands,avg_mana_cost
32,2.9
34,3.9
34,3.3
34,2.5
35,3
37,2.9
36,3.3
39,3.2
30,2.1
39,2.7
38,3.3
37,2.8
37,3
35,3.3
36,2.9
31,2.6
37,3.5
28,3.4
44,3.8
36,3.8
41,3.8
32,2.4
36,3.1
37,3.7
37,2.9
35,5.4
36,3.5
37,3.6
32,2.4
37,3.9
35,3.4
36,3.3
38,3.3
33,3.2
35,3.2
34,3.3
33,3.2
34,3.4
35,2.9
32,1.8
35,2.6
36,3
31,2.7
33,2.8
35,3
36,3.3
37,3
35,4
33,3.1
42,3.7
39,4.3
38,3.4
37,3
36,3.6
38,3.3
39,4.2
39,4.9
39,4.3
37,4.6
38,4.3
37,4
39,4
33,3
35,3.2
34,3.2
36,3.4
33,2.9
34,3.1
42,3.8
37,3.7
35,3.4
38,3.8
